Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Middle,Female,Own,Single,Far,47500,0,High,6,755
Old,Male,Rent,Single,Close,63600,0,High,6,1318
Middle,Female,Rent,Single,Close,13500,0,Low,18,296
Old,Male,Own,Married,Close,85600,1,High,18,2436
Middle,Female,Own,Single,Close,68400,0,High,12,1304
Middle,Male,Own,Married,Close,30400,0,Low,6,495
Old,Female,Rent,Single,Close,48100,0,Medium,12,782
Young,Male,Own,Single,Close,68400,0,High,18,1155
Young,Female,Own,Married,Close,51900,3,Low,6,158
Old,Male,Own,Married,Far,80700,0,NA,18,3034
Young,Male,Rent,Married,Close,43700,1,NA,12,927
Young,Male,Own,Married,Far,111800,3,High,18,2065
Middle,Female,Own,Married,Close,44100,1,Medium,24,704
Middle,Male,Own,Married,Close,111400,0,High,12,2136
Middle,Female,Own,Married,Far,110000,0,High,24,5564
Middle,Female,Own,Married,Far,83100,1,NA,12,2766
Young,Female,Own,Married,Close,82800,0,High,24,3010
Old,Male,Own,Married,Close,90100,0,High,18,1956
Middle,Male,Rent,Single,Close,38600,1,Low,18,542
Middle,Female,Rent,Single,Far,14000,0,Low,12,410
Middle,Female,Rent,Single,Far,14300,2,Low,6,194
Middle,Male,Rent,Married,Close,49800,0,Medium,12,827
Middle,Female,Rent,Married,Far,60200,0,High,18,2328
Middle,Male,Rent,Married,Far,43500,1,Medium,12,808
Middle,Female,Rent,Married,Close,41700,1,NA,6,521
Old,Female,Own,Married,Close,92300,3,Low,18,655
Old,Male,Own,Single,Close,62800,3,NA,6,707
Middle,Female,Rent,Married,Far,72900,0,High,18,2075
Middle,Female,Rent,Married,Close,66900,2,Medium,12,769
Middle,Male,Rent,Single,Close,21700,1,NA,18,774
Old,Female,Rent,Married,Close,39700,0,Medium,12,573
Middle,Male,Rent,Married,Far,72200,1,High,12,2082
Old,Female,Rent,Married,Close,87700,3,NA,24,2446
Middle,Male,Own,Married,Close,104100,0,High,24,2636
Young,Male,Rent,Single,Far,67700,0,High,12,2226
